Oshita, 22, 1, 6, 0, 2, 0, 2, 0, 9, 19, 2, 3, 5
Roberts, 20, 0, 3, 5, 0, 0, 3, 0, 6, 14, 4, 4, 1
Sullivan, 13, 3, 8, 5, 0, 0, 1, 2, 5, 6, 4, 5, 2
Howell, 11, 1, 1, 7, 1, 1, 2, 2, 4, 8, 1, 2, 3
Everman, 0, 2, 1, 1, 0, 0, 1, 0, 0, 4, 0, 0, 1
Hadley, 3, 0, 0, 1, 1, 0, 2, 0, 1, 6, 0, 0, 2
Tombe, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0
Rasheed, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
Baxter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
